Kind,Date,Event,Number
Workshop,26 May 2016,DBOnto / ED3 Workshop,44
Workshop,27 May 2016,DBOnto / ED3 Workshop,44
Lecture,31 January 2017,Engineering Applications of Blockchain Technologies,43
Workshop,31 January 2017,Engineering Applications of Blockchain Technologies,41
Conference,04 April 2016,ATI Symposium on Theoretical Foundation of Visual Analytics,40
Conference,05 April 2016,ATI Symposium on Theoretical Foundation of Visual Analytics,40
Conference,06 April 2016,ATI Symposium on Theoretical Foundation of Visual Analytics,40
Conference,13 October 2016,Lloyds Register Foundation Conference,40
Conference,14 October 2016,Lloyds Register Foundation Conference,40
Conference,21 October 2016,Knowledge Quarter Talk,40
External event,10 November 2016,British Library/ATI PhD students networking event,40
Workshop,12 January 2017,Office of National Statistics Scoping Workshop,40
Workshop,14 March 2017,Optimal Experimental Design in Inverse Problems ,40
Workshop,10 December 2015,Data science for the digital economy: Digital currencies and peer-to-peer economics,35
Workshop,18 December 2015,Networks & Big Data,35
Workshop,25 January 2016,Big Data in Geoscience,35
Workshop,26 January 2016,Big Data in Geoscience,35
Workshop,17 February 2016,Algorithm Society,35
Workshop,09 June 2016,MCMC and Diffusion Techniques,35
Workshop,10 June 2016,MCMC and Diffusion Techniques,35
Workshop,09 December 2015,Computing Systems Research for Big Data,32
Workshop,14 December 2015,The Foundations of Social Data Science,32
Workshop,18 April 2016,Public Engagement with the Research of the Alan Turing Institute,32
Workshop,12 January 2017,Office for National Statistics Scoping Workshop,32
Workshop,14 March 2017,Academic-Industry Workshopon Optimal Experimental Design & Inverse Problems ,32
Workshop,21 January 2016,Opportunities and Challenges for Data-intensive Healthcare,30
Workshop,18 February 2016,Algorithm Society,30
Workshop,02 August 2016,Computing Systems Research for Big Data 2,30
Workshop,03 August 2016,Computing Systems Research for Big Data 2,30
Workshop,04 August 2016,Computing Systems Research for Big Data 2,30
Workshop,13 October 2016,Big Data Contagion ,30
External event,07 March 2017,"Magic Pony Technology: Artificial Intelligence, Neural Networks and Image Processing",29
External event,25 February 2016,Fellowships,28
Workshop,06 January 2016," The challenges of data intensive and extreme scale numerical simulation in physics, materials science and chemistry",28
Workshop,04 February 2016,Probablistic Programming ,27
External event,16 November 2015,Anomaly & Change Detection in Streaming Big Data,26
Workshop,17 December 2015,Information-Theoretic Foundations and Algorithms for Large-Scale Data Inference,26
Workshop,05 February 2016,Probablistic Programming ,26
External event,30 March 2017,Towards Human Behaviour Modelling from Mobile Data,25
Masterclass,23 January 2017,Microsoft Azure for Research hands-on training,25
Masterclass,23 January 2017,Machine Learning using Microsoft Azure,25
Masterclass,30 January 2017,David Woodruff - Randomized Numerical Linear Algebra ,25
Masterclass,27 February 2017,Computing resources available to Turing Researchers both UK resources - tier 2 resources and the Intel Cluster.,25
Masterclass,06 March 2017,To be confirmed,25
Masterclass,20 March 2017,Machine Learning Theory Part 2,25
Short Talk,26 January 2017,"Vili Lehdonvirta (Oxford), Emine Yilmaz (UCL) and Graham Cormode (Warwick)",25
Short Talk,31 January 2017,"Dong Nguyen (Edinburgh), Franz Kiraly (UCL) and Matt Kusner (Warwick) ",25
Short Talk,07 February 2017, Gesine Reinert (Oxford) Jeremy Reizenstein (Warwick),25
Short Talk,09 February 2017,"Eric Meyer (Oxford), Konstantinos Zygalakis (Edinburgh) and Nathanaël Fijalkow (Warwick)",25
Short Talk,14 February 2017,"Varun Kanade (Oxford), Merve Alanyali (Warwick) and Chris Russell (Edinburgh)",25
Short Talk,16 February 2017,"Mihai Cucuringu (Oxford), Armin Eftekhari (Edinburgh) and Chanuki Sereshinhe (Warwick)",25
Short Talk,21 February 2017,"Krys Latuszynski (Warwick), Benedict Leimkuhler (Edinburgh) and Nick Polydorides (Edinburgh)",25
Short Talk,28 February 2017,Thomas Lukasiewicz (Oxford) and Catalina Vallejos (UCL),25
Short Talk,02 March 2017,Alessandro Abate (Oxford) and Anthony Lee (Warwick),25
Short Talk,07 March 2017,Ioannis Papastathopoulos (Edinburgh) and Steve Roberts (Oxford) ,25
Short Talk,09 March 2017,Leonardo Bottolo (Cambridge) and Vidit Nanda (Oxford),25
Short Talk,14 March 2017,"Brooks Paige (Oxford), Aretha Teckentrup (Oxford) ",25
Workshop,20 November 2015,Probabilistic Numerics,25
Workshop,16 December 2015,Accelerating Research Progress through Automated Understanding of Research Library Content,25
Workshop,05 January 2016," The challenges of data intensive and extreme scale numerical simulation in physics, materials science and chemistry",25
Workshop,27 January 2016,Big Data in Geoscience,25
Workshop,16 February 2016,Accelerating Research Progress through Automated Understanding of Research ,25
Workshop,19 November 2015,Probabilistic Numerics,22
Workshop,11 December 2015,Developing the mathematical foundations of learning for non-Euclidean objects,22
Workshop,15 January 2016,Developing the mathematical foundations of learning for non-Euclidean objects,22
External event,05 April 2016,EPSRC Training (Nico) @ Panizzi Room (free of charge),20
Lecture,06 March 2017,Critically Hybrid Epidemics,20
Workshop,16 September 2016,Financial Conduct Authority,20
Workshop,11 November 2016,Schroders/Turing Workshop,20
Workshop,28 March 2017,"Multireference Alignment, Bispectrum Inversion and Cryo-EM",20
Workshop,08 June 2016,MCMC and Diffusion Techniques,20
Workshop,10 June 2016,Met Office/ Intel,20
Workshop,27 October 2016,Secure Cloud Computing Day,20
Conference,25 October 2016,British Library Workshop,18
Workshop,23 February 2017,HSBC Meeting ,18
Workshop,12 May 2016,ATI-FCA Workshop,18
Workshop,23 May 2016,Innovative Finance for Social Good in the Data Economy,18
Workshop,20 July 2016,ATI/Farr Healthcare Workshop,17
External event,25 January 2017,Turing CEO Breakfast ,15
External event,12 December 2016,Chief Data Scientists Lunch,14
Workshop,07 September 2016,BHF - ATI ,14
Lecture,13 December 2016,Large Scale Structures in Random Graphs - Public Lectures,13
Workshop,25 October 2016,Defence & Security - Urban Analytics,10
Lecture,17 November 2016,Designing Ethical AI - what does it mean?,9
External event,26 February 2016,Fellowships,5
Workshop,07 January 2016,Gabor Csanyi,5
External event,24 February 2017,Matlab Seminar,4
